# {"t_start": 1659482831.773812, "env_id": "Bpp-v0"} 
r,l,t
5.83,38,1251.91038
5.74,36,1254.322399
5.5,35,1255.345171
3.97,29,1257.246654
7.27,47,1259.699292
6.06,43,1262.036382
2.08,14,1262.468003
5.72,41,1264.7735
4.93,30,1265.658083
6.69,46,1268.26661
6.72,46,1270.594622
7.28,45,1272.873172
5.44,36,1275.131022
5.35,31,1277.260798
7.76,52,1279.917522
6.17,43,1281.111541
7.23,44,1283.531262
6.51,41,1285.777533
6.99,44,1288.185956
5.59,38,1290.562034
7.05,49,1292.921978
6.04,39,1295.224782
7.19,48,1297.873267
0.46,5,1298.021934
2.92,21,1298.613138
7.15,46,1300.895213
7.51,49,1303.563933
3.59,27,1304.313485
7.04,47,1306.705722
6.89,42,1308.982263
6.9,47,1311.512589
7.08,49,1313.873146
6.6,44,1316.198847
5.77,39,1318.383827
7.2,45,1320.858208
7.9,52,1323.704663
7.33,50,1326.402389
6.37,43,1328.771651
6.6,43,1331.315231
4.56,32,1332.267819
7.57,49,1334.957693
7.91,53,1337.679929
7.6,48,1340.463451
7.27,50,1343.283164
6.62,43,1345.895735
6.71,43,1348.374959
5.64,38,1350.866445
1.83,13,1351.214569
5.82,38,1353.656819
6.56,41,1354.97883
6.75,42,1357.630753
6.34,41,1360.256629
5.79,40,1362.711999
6.58,45,1365.324439
6.98,47,1368.245508
7.24,49,1371.176495
5.83,38,1373.639942
4.27,31,1374.638459
5.92,41,1377.284885
6.12,37,1379.603325
6.51,43,1382.395396
6.14,38,1383.75148
7.1,49,1386.400329
6.59,42,1389.150073
7.37,45,1391.903503
6.79,45,1394.649941
7.69,47,1397.303675
5.63,36,1399.631426
6.76,42,1401.081551
6.57,46,1403.841243
6.73,41,1406.367503
5.53,35,1408.841455
7.6,53,1412.026151
6.24,41,1414.648679
7.39,51,1417.775174
5.33,34,1418.928773
6.72,47,1421.729548
7.09,46,1424.57957
7.33,48,1427.327181
7.2,52,1430.323933
6.94,47,1433.096677
7.84,52,1436.002331
7.11,48,1438.82349
6.99,45,1441.599822
7.38,49,1444.581449
7.47,45,1447.976419
7.65,46,1451.321843
7.71,51,1454.290639
6.6,40,1457.263077
7.92,51,1460.204164
6.43,45,1462.934033
7.8,51,1466.186509
6.72,47,1471.317939
4.02,28,1472.540982
3.02,21,1474.370327
7.36,45,1477.040014
5.26,36,1478.200815
7.57,49,1481.065901
7.93,55,1484.437772
7.25,43,1487.162197
7.16,45,1489.897874
6.36,42,1492.705003
3.41,23,1493.435992
7.77,49,1496.401544
7.49,54,1499.619539
6.91,50,1502.56536
6.83,45,1505.234872
7.55,51,1508.061578
6.96,46,1510.751141
7.1,47,1513.672055
5.46,37,1516.02824
6.74,45,1518.781364
7.03,47,1521.550604
7.92,53,1524.549095
6.64,41,1527.11864
7.73,50,1530.100126
6.75,45,1532.812905
6.9,47,1535.676984
6.37,43,1537.206671
6.53,40,1539.981355
6.39,41,1542.96814
6.96,44,1545.909528
5.75,39,1548.770886
7.53,46,1551.881402
6.6,43,1553.464885
6.67,46,1556.520971
6.83,44,1559.419943
6.84,44,1562.387895
6.83,45,1565.367269
6.8,44,1568.38407
8.08,50,1571.564548
8.0,51,1574.728538
5.98,41,1577.480096
5.98,41,1580.16492
6.43,43,1581.81724
6.61,44,1584.73937
7.35,44,1587.490696
5.73,38,1590.405248
5.88,38,1593.159964
6.74,45,1596.381697
6.93,48,1599.234878
7.73,51,1602.629589
5.93,42,1604.207639
6.02,43,1606.901763
7.22,52,1610.099236
6.37,42,1612.884536
5.72,35,1615.469613
6.48,41,1618.386379
6.84,48,1621.511597
6.92,45,1624.513781
5.36,32,1625.64793
7.39,46,1628.9161
5.72,37,1631.613466
6.48,40,1634.523891
7.57,48,1637.811706
5.89,40,1639.296868
3.11,22,1641.476431
6.28,42,1644.649561
6.51,44,1647.793574
8.01,51,1651.14045
4.61,30,1652.335678
6.45,41,1655.245201
5.93,41,1658.212249
5.81,37,1661.064115
5.87,38,1662.560692
6.35,40,1665.540915
6.65,44,1668.503886
6.8,44,1671.418659
6.67,42,1675.421135
7.14,49,1678.881415
5.71,38,1680.267509
6.69,44,1683.379381
6.55,43,1686.501999
6.52,46,1689.907958
6.43,46,1693.413144
7.74,50,1696.82725
5.24,34,1699.488619
6.58,42,1702.376761
6.47,43,1704.125231
3.95,25,1706.467655
6.77,46,1709.486879
6.07,41,1712.230311
6.61,46,1715.122303
7.36,45,1716.832227
7.43,50,1720.744086
5.55,35,1724.021035
